seqnames	start	end	AF	EUR_AF	cn0	cn1	cn2	p.cn0	p.cn1	p.cn2
1	97421716	97422044	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
1	98170568	98178583	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	102350204	102358509	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
1	105898516	105900757	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	113933414	113933512	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	118368979	118369650	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	158489615	158491973	0.00279553	0.0099	0	14	2490	0	0.00559105431309904	0.994408945686901
1	169144201	169148085	0.00239617	0	0	12	2492	0	0.00479233226837061	0.995207667731629
1	170973880	170975099	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
1	175022467	175026204	0.02116613	0	6	94	2404	0.0023961661341853	0.0375399361022364	0.960063897763578
1	188947464	188947634	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	189578512	189580756	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
1	189767919	189767988	0.00998403	0	0	50	2454	0	0.0199680511182109	0.980031948881789
1	191208325	191241348	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	198594702	198601219	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
1	213234251	213234387	0.00159744	0	0	8	2496	0	0.00319488817891374	0.996805111821086
1	221707094	221714524	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
1	222374169	222380531	0.25139776	0.3181	172	915	1417	0.0686900958466454	0.365415335463259	0.565894568690096
1	227054872	227056354	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
1	227263365	227266374	0.0009984	0.002	0	5	2499	0	0.00199680511182109	0.998003194888179
2	2178325	2179490	0.00698882	0	0	35	2469	0	0.0139776357827476	0.986022364217252
2	7964343	8000631	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	14574279	14574885	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
2	18013979	18014901	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
2	40764807	40772028	0.00359425	0	0	18	2486	0	0.00718849840255591	0.992811501597444
2	42472218	42472306	0.00039936	0.001	0	2	2502	0	0.000798722044728434	0.999201277955272
2	46649105	46653615	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
2	50948740	50999266	0.00079872	0.001	0	4	2500	0	0.00159744408945687	0.998402555910543
2	57521485	57656650	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
2	59383304	59384708	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	62195589	62231861	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
2	63399436	63400108	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	86914868	86928361	0.00039936	0.002	0	2	2502	0	0.000798722044728434	0.999201277955272
2	102578233	102579813	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	107876846	107877671	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	117401838	117402281	0.00179712	0.007	0	9	2495	0	0.00359424920127796	0.996405750798722
2	126108118	126111000	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
2	148977540	148981041	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	159282425	159285731	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
2	170337638	170337707	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	192178233	192198223	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	219274949	219289716	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
2	220232623	220233135	0.11601438	0.1064	48	485	1971	0.0191693290734824	0.193690095846645	0.787140575079872
2	229410632	229423097	0.00159744	0	0	8	2496	0	0.00319488817891374	0.996805111821086
2	229819642	229847692	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	233246129	233274210	0.00439297	0.002	0	22	2482	0	0.00878594249201278	0.991214057507987
2	235243903	235252204	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
2	241519172	241521666	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	853770	860977	0.00399361	0.0089	0	20	2484	0	0.00798722044728434	0.992012779552716
3	2208350	2208852	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	3924804	3950990	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
3	11645651	11646732	0.19548722	0.172	113	753	1638	0.0451277955271566	0.300718849840256	0.654153354632588
3	11699680	11700120	0.00658946	0	0	33	2471	0	0.0131789137380192	0.986821086261981
3	11826909	11827892	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
3	15012729	15013435	0.02016773	0	7	87	2410	0.00279552715654952	0.0347444089456869	0.962460063897764
3	20979229	20995439	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
3	24289384	24289997	0.00219649	0	0	11	2493	0	0.00439297124600639	0.995607028753994
3	27713494	27718363	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
3	29756423	29760873	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	29839800	29839868	0.00039936	0.001	0	2	2502	0	0.000798722044728434	0.999201277955272
3	37439503	37443558	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	41069897	41070790	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	48957701	48959056	0.74880192	0.6501	1517	716	271	0.605830670926518	0.28594249201278	0.108226837060703
3	54881195	54882585	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	75850726	75855861	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
3	81196517	81202925	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
3	83617893	83774356	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	87263411	87263680	0.01757188	0	1	86	2417	0.000399361022364217	0.0343450479233227	0.965255591054313
3	89486290	89490557	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	90464913	90467200	0.04412939	0.004	19	183	2302	0.00758785942492013	0.0730830670926518	0.919329073482428
3	99046758	99056064	0.00039936	0.001	0	2	2502	0	0.000798722044728434	0.999201277955272
3	101006872	101006926	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	111751369	111753126	0.00299521	0	0	15	2489	0	0.00599041533546326	0.994009584664537
3	113893474	113893588	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	118377493	118378041	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
3	125409667	125412467	0.00199681	0	0	10	2494	0	0.00399361022364217	0.996006389776358
3	125575451	125576117	0.00079872	0.001	0	4	2500	0	0.00159744408945687	0.998402555910543
3	127405823	127405883	0.00678914	0	0	34	2470	0	0.0135782747603834	0.986421725239617
3	130031130	130031541	0.0009984	0	0	5	2499	0	0.00199680511182109	0.998003194888179
3	138747397	138785803	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	144059249	144064248	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
3	163176062	163211732	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
3	164870178	164872026	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
3	170062624	170063795	0.0409345	0	11	183	2310	0.00439297124600639	0.0730830670926518	0.922523961661342
3	176622498	176622620	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
3	190785086	190789326	0.00399361	0.001	0	20	2484	0	0.00798722044728434	0.992012779552716
3	190787021	190788046	0.05650958	0.001	20	243	2241	0.00798722044728434	0.0970447284345048	0.894968051118211
3	191064690	191071659	0.13877796	0.2584	73	549	1882	0.0291533546325879	0.219249201277955	0.751597444089457
4	10325837	10338584	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
4	10337899	10339878	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	15760381	15768825	0.00778754	0	1	37	2466	0.000399361022364217	0.014776357827476	0.98482428115016
4	22663115	22666260	0.03434505	0.001	11	150	2343	0.00439297124600639	0.0599041533546326	0.935702875399361
4	37618347	37620633	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
4	38801616	38803069	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
4	43751813	43752122	0.48162939	0.6133	684	1044	776	0.273162939297125	0.416932907348243	0.309904153354633
4	44231959	44232073	0.00079872	0.001	0	4	2500	0	0.00159744408945687	0.998402555910543
4	44578658	44584603	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
4	45172136	45179637	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	56945438	56945499	0.00379393	0	0	19	2485	0	0.00758785942492013	0.99241214057508
4	62729534	62740039	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
4	65642954	65646651	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	67484209	67484292	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
4	71968268	71980852	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
4	72289683	72293417	0.00219649	0.004	0	11	2493	0	0.00439297124600639	0.995607028753994
4	74747650	74747812	0.07028754	0.006	19	314	2171	0.00758785942492013	0.125399361022364	0.867012779552716
4	75940021	75952533	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	76742956	76743790	0.06010383	0	32	237	2235	0.012779552715655	0.0946485623003195	0.892571884984026
4	88668943	88673552	0.00079872	0.002	0	4	2500	0	0.00159744408945687	0.998402555910543
4	90427882	90428681	0.08126997	0.0537	22	363	2119	0.00878594249201278	0.144968051118211	0.846246006389776
4	91161308	91161559	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	98310546	98310629	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	115712310	115717356	0.00119808	0.001	0	6	2498	0	0.0023961661341853	0.997603833865815
4	136407095	136451953	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
4	139008359	139010191	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	139039525	139040695	0.00299521	0	0	15	2489	0	0.00599041533546326	0.994009584664537
4	139328535	139333280	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	146053199	146053734	0.00379393	0.001	0	19	2485	0	0.00758785942492013	0.99241214057508
4	149576394	149665016	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	158026918	158027012	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	167623014	167638318	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	172528570	172529924	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
4	181078441	181078492	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
4	184237476	184237555	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
4	189882319	189890359	0.0009984	0.001	1	3	2500	0.000399361022364217	0.00119808306709265	0.998402555910543
5	8028611	8029211	0.0009984	0	0	5	2499	0	0.00199680511182109	0.998003194888179
5	8081265	8081321	0.12619808	0.2147	6	620	1878	0.0023961661341853	0.247603833865815	0.75
5	9861305	9861423	0.00059904	0.002	0	3	2501	0	0.00119808306709265	0.998801916932907
5	14964173	14965824	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
5	16525366	16525419	0.20986422	0.1869	34	983	1487	0.0135782747603834	0.392571884984026	0.593849840255591
5	17599387	17602675	0.02476038	0.0308	2	120	2382	0.000798722044728434	0.0479233226837061	0.951277955271565
5	17668058	17670630	0.00638978	0.005	0	32	2472	0	0.012779552715655	0.987220447284345
5	20930155	20943744	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
5	21649475	21651299	0.00139776	0	0	7	2497	0	0.00279552715654952	0.99720447284345
5	31884951	31886209	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
5	39847100	39851064	0.0009984	0.002	0	5	2499	0	0.00199680511182109	0.998003194888179
5	39963827	39963881	0.00239617	0	0	12	2492	0	0.00479233226837061	0.995207667731629
5	42111644	42117913	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
5	57579800	57582484	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	68319221	68320880	0.00339457	0.0149	0	17	2487	0	0.00678913738019169	0.993210862619808
5	68434198	68434970	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	82170437	82170520	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	95108299	95108867	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	99757275	99757673	0.00838658	0.001	0	42	2462	0	0.0167731629392971	0.983226837060703
5	103681231	103681304	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	103685318	103685492	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	103697025	103788913	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
5	103718241	103775317	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
5	103733671	103739793	0.00079872	0.001	0	4	2500	0	0.00159744408945687	0.998402555910543
5	109563691	109573941	0.00039936	0.001	0	2	2502	0	0.000798722044728434	0.999201277955272
5	111413284	111413350	0.08746006	0.0278	28	382	2094	0.0111821086261981	0.152555910543131	0.836261980830671
5	111878806	111878938	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
5	119253151	119284201	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	123142197	123142437	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
5	125335487	125335537	0.0399361	0.001	2	196	2306	0.000798722044728434	0.0782747603833866	0.920926517571885
5	132656460	132657324	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	150177636	150181601	0.18190895	0.1034	126	659	1719	0.0503194888178914	0.263178913738019	0.686501597444089
5	168984267	168990537	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
5	172796591	172803929	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	176228832	176228884	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
5	177115336	177115789	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	340942	340994	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	380338	380414	0.46226038	0.4503	16	2283	205	0.00638977635782748	0.911741214057508	0.0818690095846645
6	12478899	12483431	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
6	13671296	13671934	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	15683321	15684850	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
6	17727731	17728776	0.00698882	0	2	31	2471	0.000798722044728434	0.0123801916932907	0.986821086261981
6	29917089	29937867	0.00539137	0	0	27	2477	0	0.0107827476038339	0.989217252396166
6	31023272	31023654	0.21365815	0.1213	127	816	1561	0.0507188498402556	0.325878594249201	0.623402555910543
6	32461337	32468848	0.82807508	0.8628	1741	665	98	0.695287539936102	0.265575079872204	0.0391373801916933
6	32614932	32615252	0.5	0.5408	825	854	825	0.329472843450479	0.341054313099042	0.329472843450479
6	36679536	36679801	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	47300842	47304455	0.00479233	0	0	24	2480	0	0.00958466453674121	0.990415335463259
6	47564668	47566948	0.02116613	0.0596	2	102	2400	0.000798722044728434	0.0407348242811502	0.958466453674121
6	58186791	58190920	0.02136581	0	2	103	2399	0.000798722044728434	0.0411341853035144	0.958067092651757
6	66399273	66404615	0.11022364	0.0288	66	420	2018	0.0263578274760383	0.167731629392971	0.80591054313099
6	68479622	68479738	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	80524946	80529279	0.00079872	0	0	4	2500	0	0.00159744408945687	0.998402555910543
6	81644845	81646983	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	89845888	89851693	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	89921713	89922144	0.48682109	0.5765	637	1164	703	0.254392971246006	0.464856230031949	0.280750798722045
6	95387296	95389287	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
6	96915275	96915387	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	108282158	108296976	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	108610532	108615079	0.01377796	0.0179	0	69	2435	0	0.027555910543131	0.972444089456869
6	108690799	108698696	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
6	110630702	110661417	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	110665870	110669891	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	114604709	114612596	0.00219649	0	0	11	2493	0	0.00439297124600639	0.995607028753994
6	117100292	117101676	0.00059904	0.001	0	3	2501	0	0.00119808306709265	0.998801916932907
6	119173884	119174598	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	121062818	121064932	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	125817768	125822989	0.00219649	0	0	11	2493	0	0.00439297124600639	0.995607028753994
6	137372735	137372838	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	143852488	143852615	0.00199681	0	0	10	2494	0	0.00399361022364217	0.996006389776358
6	159644791	159646484	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
6	166797717	166805349	0.00039936	0.001	0	2	2502	0	0.000798722044728434	0.999201277955272
6	170616633	170621499	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	15185810	15196118	0.00039936	0.001	0	2	2502	0	0.000798722044728434	0.999201277955272
7	24152161	24154322	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
7	37323525	37324872	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
7	39237767	39244626	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
7	48870085	48870898	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
7	54087352	54089446	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	54515668	54530282	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
7	70582149	70591154	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	74772350	74774220	0.83126997	0.9423	1880	403	221	0.750798722044728	0.16094249201278	0.088258785942492
7	78946634	78958373	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
7	79176410	79176481	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	79493596	79522992	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
7	87668447	87672773	0.00339457	0.0159	0	17	2487	0	0.00678913738019169	0.993210862619808
7	90708174	90733646	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	93757456	93766270	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	97606934	97613679	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	97993523	97993871	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
7	98597307	98613715	0.00059904	0.001	0	3	2501	0	0.00119808306709265	0.998801916932907
7	101956626	101957239	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	110844584	111032114	0.0009984	0	0	5	2499	0	0.00199680511182109	0.998003194888179
7	110846284	110846577	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	115546018	115546586	0.00039936	0.002	0	2	2502	0	0.000798722044728434	0.999201277955272
7	117062611	117070307	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	124105421	124109223	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	136786288	136788474	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	137573000	137573825	0.00359425	0.0119	0	18	2486	0	0.00718849840255591	0.992811501597444
7	141207281	141208426	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
7	149388308	149390848	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	152960568	152962534	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
7	155057793	155080042	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	156253480	156261225	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	156324581	156335558	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
7	156387086	156394312	0.07128594	0.0706	15	327	2162	0.00599041533546326	0.130591054313099	0.863418530351438
7	157995910	157995976	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	158002780	158002841	0.00179712	0	0	9	2495	0	0.00359424920127796	0.996405750798722
7	158533249	158536743	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
7	159049413	159059533	0.00419329	0.001	0	21	2483	0	0.00838658146964856	0.991613418530351
8	4218237	4219276	0.00059904	0.001	0	3	2501	0	0.00119808306709265	0.998801916932907
8	5486223	5490896	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	15386289	15457772	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
8	21210560	21211025	0.00359425	0	0	18	2486	0	0.00718849840255591	0.992811501597444
8	24166368	24169676	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
8	28895253	28896253	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
8	40774597	40779782	0.46845048	0.5656	569	1208	727	0.22723642172524	0.482428115015974	0.290335463258786
8	50436739	50439395	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	62058759	62058811	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
8	70236875	70236972	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	75223703	75224627	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	78125113	78126243	0.0071885	0	0	36	2468	0	0.0143769968051118	0.985623003194888
8	83709973	83710095	0.05930511	0.0378	8	281	2215	0.00319488817891374	0.112220447284345	0.884584664536741
8	89578846	89679788	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	91545307	91546012	0.00938498	0	3	41	2460	0.00119808306709265	0.0163738019169329	0.982428115015974
8	93624773	93624851	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	95183957	95184868	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	104408554	104412119	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	106579654	106580645	0.00239617	0	0	12	2492	0	0.00479233226837061	0.995207667731629
8	115618921	115618980	0.08566294	0.0686	16	397	2091	0.00638977635782748	0.158546325878594	0.835063897763578
8	118413638	118418701	0.00159744	0	0	8	2496	0	0.00319488817891374	0.996805111821086
8	125218916	125218967	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
8	128716450	128729902	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
8	129820301	129823651	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
8	132277657	132280535	0.62300319	0.6093	996	1128	380	0.39776357827476	0.450479233226837	0.151757188498403
8	136073304	136076822	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
8	145525572	145527276	0.0215655	0	8	92	2404	0.00319488817891374	0.036741214057508	0.960063897763578
9	1488460	1488614	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
9	2510148	2516778	0.00079872	0	1	2	2501	0.000399361022364217	0.000798722044728434	0.998801916932907
9	6672236	6675374	0.00559105	0	0	28	2476	0	0.0111821086261981	0.988817891373802
9	6685732	6691545	0.00059904	0.001	0	3	2501	0	0.00119808306709265	0.998801916932907
9	14709271	14714307	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
9	18396974	18397065	0.0245607	0	3	117	2384	0.00119808306709265	0.0467252396166134	0.952076677316294
9	18589586	18594907	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
9	22969381	22970679	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
9	23005756	23014268	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
9	26794765	26794815	0.00359425	0	0	18	2486	0	0.00718849840255591	0.992811501597444
9	27580676	27580749	0.00019968	0.001	0	1	2503	0	0.000399361022364217	0.999600638977636
9	27648829	27661938	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
9	28642675	28645022	0.00179712	0.005	0	9	2495	0	0.00359424920127796	0.996405750798722
9	38764836	38764903	0.26257987	0.173	23	1269	1212	0.009185303514377	0.506789137380192	0.484025559105431
9	68439959	68445334	0.00119808	0	0	6	2498	0	0.0023961661341853	0.997603833865815
9	68690487	69029274	0.00019968	0	0	1	2503	0	0.000399361022364217	0.999600638977636
9	71336553	71341635	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
9	74545546	74545610	0.00039936	0	0	2	2502	0	0.000798722044728434	0.999201277955272
9	75256224	75261491	0.00059904	0	0	3	2501	0	0.00119808306709265	0.998801916932907
